OID,SUMACCIDEN,CITY,CITYCODE,MUNITYPE,DISTRICT,MUNICIPAL,MUNICODE,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,AreaSQKM,YEARMONTH,Shape_Length,Shape_Area
-1,117,אבו גוש,472,מועצה מקומית,ירושלים,אבו גוש,0472,0,3,151,22,34,106,7,154,203,10,5,2,115,150,61.864123575719915,1.891241534470222,202405,10069.408779572060666,1891241.534470222424716
-1,291,אבו סנאן,473,מועצה מקומית,צפון,אבו סנאן,0473,4,8,538,23,128,394,25,550,514,12,9,6,333,395,43.461888825118706,6.695521245542765,202405,20575.412636152592313,6695521.245542764663696
-1,226,אבן יהודה,182,מועצה מקומית,מרכז,אבן יהודה,0182,2,8,282,30,44,198,39,292,432,25,18,5,248,338,27.342258870162802,8.265593602678605,202405,17330.657428265254566,8265593.602678605355322
-1,1016,אום אל פחם,2710,עירייה,חיפה,אום אל פחם,2710,5,49,1617,145,484,1128,45,1671,1755,72,56,13,1007,1379,39.034456176238010,26.028286276432969,202405,44152.451510802377015,26028286.276432968676090
-1,376,אופקים,31,עירייה,דרום,אופקים,0031,3,21,449,74,93,312,54,473,632,7,17,28,343,494,36.225166073192455,10.379524533864030,202405,14685.338229764516655,10379524.533864030614495
-1,1028,אור יהודה,2400,עירייה,תל אביב,אור יהודה,2400,5,54,1133,144,127,866,141,1192,1841,162,60,32,971,1455,154.270038235591670,6.663640015633508,202405,15178.692530009049733,6663640.015633507631719
-1,403,אור עקיבא,1020,עירייה,חיפה,אור עקיבא,1020,1,20,500,78,94,348,70,521,685,22,15,31,376,540,72.664890538686649,5.546007115849759,202405,13757.482243260425093,5546007.115849759429693
-1,283,אזור,565,מועצה מקומית,תל אביב,אזור,0565,6,16,323,40,35,275,23,345,512,73,11,17,231,414,127.691949350375609,2.216271279745856,202405,8650.436299365481318,2216271.279745856299996
-1,1328,אילת,2600,עירייה,דרום,אילת,2600,4,44,1609,242,279,1165,161,1657,2259,227,36,134,1002,1825,13.193309044015482,100.657082735614694,202405,92453.002365120599279,100657082.735614687204361
-1,233,אכסאל,478,מועצה מקומית,צפון,אכסאל,0478,0,11,330,27,81,241,12,341,413,7,8,8,236,330,25.591391327196334,9.104624169159088,202405,15949.093683430000965,9104624.169159088283777
-1,18,ואדי חמאם,993,מועצה אזורית,צפון,אל בטוף,5565,0,0,21,2,6,14,0,21,27,2,0,0,13,18,42.315828744645479,0.42537274,202405,5128.546905513688216,425372.739563269657083
